"merchant","correlation","rank","selected"
"merchant_Dyed_M_exico_4148",0.284490205738134,106,FALSE
"merchant_Botas_Pistolero_7250",0.283433597456088,107,FALSE
"merchant_LOB_140",0.28217644407466,108,FALSE
"merchant_Vittorio_Forti_3133",0.281561487572027,109,FALSE
"merchant_Highstreet_2683",0.278342160284368,110,FALSE
"merchant_Zenz_Perfumes_7076",0.278071641357709,111,FALSE
"merchant_Rawapothecary_5720",0.276900479144636,112,FALSE
"merchant_Monom_11100",0.276878281917955,113,FALSE
"merchant_Sonny_Angel_10852",0.275184361805828,114,FALSE
"merchant_Maria_Valentina_Canc_un_10054",0.274343024274853,115,FALSE
"merchant_The_Happy_Face_Co_7236",0.273801080621235,116,FALSE
"merchant_Meelena_9109",0.273008630197551,117,FALSE
"merchant_Happy_Pal_11136",0.272954615712362,118,FALSE
"merchant_Nutribullet_7589",0.272202586228309,119,FALSE
"merchant_Moto_Helmets_4678",0.271220249720965,120,FALSE
"merchant_BODYFITSUPPLEMENTS_6115",0.269676929790954,121,FALSE
"merchant_Moes_Makers_6838",0.269242549433374,122,FALSE
"merchant_Dabalash_M_exico_3839",0.26710407914292,123,FALSE
"merchant_Ellaz_4431",0.266534726471161,124,FALSE
"merchant_Juguetibici_4737",0.266201124440435,125,FALSE
"merchant_CENTRO_DISTRIBUCION_DABALASH_7799",0.266057646465979,126,FALSE
"merchant_Julio_Cepeda_8970",0.264104563463836,127,FALSE
"merchant_Lumbeard_5430",0.263707656587598,128,FALSE
"merchant_Hang_Ten_5163",0.261697311683999,129,FALSE
"merchant_Nuestras_Fragancias_6165",0.260229798178079,130,FALSE
"merchant_Alejandra_de_Coss_1563",0.258353172676499,131,FALSE
"merchant_NG_Naimos_11206",0.257639166640391,132,FALSE
"merchant_Amai_7359",0.257263564647201,133,FALSE
"merchant_Kantocards_10547",0.256398703066756,134,FALSE
"merchant_Ariat_8445",0.255386488172278,135,FALSE
"merchant_Serendipia_6749",0.255118368351339,136,FALSE
"merchant_Philips_7122",0.254708530025551,137,FALSE
"merchant_Rock_Hampton_Polo_Team_5336",0.253907996277414,138,FALSE
"merchant_Bonanza_Boots_Mx_5370",0.253116119664812,139,FALSE
"merchant_Skin_by_Erika_Vega_Company_10282",0.253073567803107,140,FALSE
"merchant_Dabalash_Original_6402",0.252953808660214,141,FALSE
"merchant_Roman_Fashion_Sa_De_Cv_663",0.252360463756207,142,FALSE
"merchant_Val_De_Grace_2923",0.251505560170309,143,FALSE
"merchant_Ponte_Salsa_7370",0.250075635001686,144,FALSE
"merchant_Nautica_6985",0.249515571124425,145,FALSE
"merchant_Perfum_erica_159",0.248544251333736,146,FALSE
"merchant_Beauty_Creations_10796",0.248065671795547,147,FALSE
"merchant_Sekega_10726",0.246729097190984,148,FALSE
"merchant_Discovery_Expedition_7925",0.246183414107422,149,FALSE
"merchant_Padeleros_6011",0.244179289033952,150,FALSE
"merchant_Kyra_Gold_10233",0.243881805432482,151,FALSE
"merchant_Editorial_Panini_10870",0.239852845083322,152,FALSE
"merchant_myshoesmexico_com_5241",0.239293956328698,153,FALSE
"merchant_Butic_Mx_11330",0.239069683323717,154,FALSE
"merchant_DEVLYN_7749",0.239020687238809,155,FALSE
"merchant_Mega_Audio_10077",0.236225660880508,156,FALSE
"merchant_WOSH_10352",0.23613685172052,157,FALSE
"merchant_Gran_Bravo_11285",0.235717251064899,158,FALSE
"merchant_Analuzsaso_11193",0.232382129431654,159,FALSE
"merchant_Komet_6760",0.231962876388809,160,FALSE
"merchant_FOLEY_S_6467",0.227496063273438,161,FALSE
"merchant_Clepsidramx_8448",0.227111299948554,162,FALSE
"merchant_Xixanthe_10092",0.226976393346056,163,FALSE
"merchant_RUN24_7185",0.226433202460366,164,FALSE
"merchant_Mixup_com_mx_10559",0.226240953745593,165,FALSE
"merchant_Almacenes_Anfora_Online_10305",0.225908927305011,166,FALSE
"merchant_Nuestra_Tierra_Cosm_etica_6708",0.225737671415499,167,FALSE
"merchant_La_casa_de_la_educadora_11018",0.22434701288809,168,FALSE
"merchant_Flower_Moradita_11006",0.224312745129289,169,FALSE
"merchant_Original_Penguin_3482",0.22385306264405,170,FALSE
"merchant_Stax_737",0.222599863371616,171,FALSE
"merchant_Philips_29567",0.220595852145198,172,FALSE
"merchant_Onboard_8938",0.219596196482039,173,FALSE
"merchant_ALOHA_9758",0.21954812829758,174,FALSE
"merchant_Danger_Skate_Shop_6075",0.219176576293148,175,FALSE
"merchant_KUBOR_9823",0.218898014642738,176,FALSE
"merchant_Gabriela_S_3055",0.212698709024708,177,FALSE
"merchant_Error_404_5380",0.212113329017705,178,FALSE
"merchant_Kazoo_3415",0.211922926184511,179,FALSE
"merchant_One_dupe_9571",0.209810488938504,180,FALSE
"merchant_Vitalbotanics_8119",0.209681762207596,181,FALSE
"merchant_Forever_21_5856",0.209556208939657,182,FALSE
"merchant_Sport_Masters_1415",0.209224318858057,183,FALSE
"merchant_Alive_Premium_Store_8982",0.208722998526215,184,FALSE
"merchant_New_Balance_M_exico_6360",0.208572099812256,185,FALSE
"merchant_Regina_Romero_7011",0.207814192066327,186,FALSE
"merchant_Regula_Underwear_8418",0.207234870106564,187,FALSE
"merchant_Bella_Michelle_9579",0.205991560066987,188,FALSE
"merchant_MICHEL_DOMIT_9652",0.205675750757162,189,FALSE
"merchant_La_Rebozeria_7653",0.204882081113912,190,FALSE
"merchant_Steren_Shopify_11003",0.203798508232966,191,FALSE
"merchant_Colchones_Dormil_on_7959",0.202007635714965,192,FALSE
"merchant_Urban_Hangers_7346",0.201238500857361,193,FALSE
"merchant_Cake_Sex_Shop_10306",0.201226045643336,194,FALSE
"merchant_VERITEZA_7603",0.200806924703785,195,FALSE
"merchant_Bianca_Makeup_9609",0.200321023900727,196,FALSE
"merchant_Jaime_Ibiza_7815",0.200318019219874,197,FALSE
"merchant_Plarte_4677",0.200222259791744,198,FALSE
"merchant_Vicky_Form_7176",0.200146092052175,199,FALSE
"merchant_Dyed_10082",0.198990192015511,200,FALSE
"merchant_Viceversa_566",0.198961903840424,201,FALSE
"merchant_Libreria_Rodrian_9018",0.19840744953464,202,FALSE
"merchant_ShinnySkin_9010",0.197228834212864,203,FALSE
"merchant_JGLashes_9626",0.195607280492026,204,FALSE
"merchant_Black_Clover_2801",0.194957367878749,205,FALSE
"merchant_Formula_Entre_Amigos_4880",0.194815237699642,206,FALSE
"merchant_Truss_10651",0.194704959908981,207,FALSE
"merchant_Luxxe_9632",0.19348401751344,208,FALSE
"merchant_Brantano_3481",0.192446317867528,209,FALSE
"merchant_Carlo_Ronaldi_6284",0.190925986974785,210,FALSE
"merchant_Faiska_Boutique_11057",0.190464733991454,211,FALSE
"merchant_Piel_Deli_9688",0.189866010814785,212,FALSE
"merchant_Diggi_Shop_Games_11429",0.189794935867914,213,FALSE
